CODICE,DENOMINAZIONE,INDIRIZZO,COMUNE,COD_ISTAT,LON,LAT,LAT_LON,SR_GEO,QUOTA,OPERATORE,TIPO_IMPIANTO,STATO_IMPIANTO,FASE_RICHIESTA,TECNOLOGIE_UTILIZZATE
FO2886-A,SALA-VILLALTA ,VIA CAMPONE 425,CESENATICO,040008,12.387127,44.151193,12.387127 44.151193,4326                            ,8,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO037,CUSERCOLI,"VIA MONTE AGLIO,SNC TRALICCIO RAI",CIVITELLA DI ROMAGNA,040009,11.997202,44.030751,11.997202 44.030751,4326                            ,336,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE1800 - UMTS2100
FO077,GRISIGNANO ,"AREA VERDE COMUNALE C/O VIA MADRE TERESA DI CALCUTTA, SNC ZONA ARTIGIANALE LOC. SAN MARTINO IN STRADA",FORLI' ,040012,12.039838,44.175199,12.039838 44.175199,4326                            ,45,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL94,FO MEUCCI ,"VIA BALZELLA, 54",FORLI' ,040012,12.077157,44.222408,12.077157 44.222408,4326                            ,"23,7",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE1800 - UMTS2100
FO012,P.ZZA CADUTI SUL LAVORO ,"VIA EPISCOPIO VECCHIO, 9",FORLI' ,040012,12.036041,44.227243,12.036041 44.227243,4326                            ,30,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL97,FO RONCO PAESE ,"VIALE ROMA, 195",FORLI' ,040012,12.076228,44.207781,12.076228 44.207781,4326                            ,"23,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
FO0F,SAN MARTINO IN STRADA PAESE ,"VIA PLACUCCI, 20",FORLI' ,040012,12.041293,44.185459,12.041293 44.185459,4326                            ,39,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE1800 - UMTS2100
FO6F,GAMBETTOLA NORD,"VIA MARCONI (GIA' VIA KENNEDY), 126",GAMBETTOLA,040015,12.3420854543,44.1226069001,12.3420854543 44.1226069001,4326                            ,23,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO71,LONGIANO,C/O CAMPO SPORTIVO COMUNALE,LONGIANO,040018,12.3342361978,44.0730883342,12.3342361978 44.0730883342,4326                            ,"163,97",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS2100
FO70,MELDOLA,"VIA PARALATO,6/A",MELDOLA,040019,12.0727498722,44.1185199816,12.0727498722 44.1185199816,4326                            ,131,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FL02,SOGLIANO AL RUBICONE,STRADA VICINALE DELL'AVALE,SOGLIANO AL RUBICONE,040046,12.3125429958,44.0052551185,12.3125429958 44.0052551185,4326                            ,374,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO41030_003,,VIA VERDI (LAGHETTI ELENA),BOMPORTO,036002,11.036513,44.726475,11.036513 44.726475,4326                            ,24,ILIAD,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO24,CARPI NORD,VIA POZZUOLI,CARPI,036005,10.889651,44.788399,10.889651 44.788399,4326                            ,"24,7",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO2693-A,FANANO,LOC. CA` DEL VENTO,FANANO,036011,10.8084621927,44.1977451719,10.8084621927 44.1977451719,4326                            ,1002,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO4819-B,TORRE MAINA,"SS 12 NUOVA ESTENSE, LOC. BASILISCO",MARANELLO,036019,10.8580702856,44.4871371451,10.8580702856 44.4871371451,4326                            ,235,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS2100
MO11,MIRANDOLA,"VIA PICASSO,8",MIRANDOLA,036022,11.071768,44.884582,11.071768 44.884582,4326                            ,18,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO023,VIA PRAMPOLINI,PIAZZA MANZONI C/O PARCHEGGIO ATCM,MODENA,036023,10.931324,44.633339,10.931324 44.633339,4326                            ,35,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO099,VIA STAFFETTE PARTIGIANE,VIA STAFFETTE PARTIGIANE 65,MODENA,036023,10.925894,44.666152,10.925894 44.666152,4326                            ,32,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM1800 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
MO2283-E,CASE NUOVE,STRADA MORANE,MODENA,036023,10.9276389004,44.6224124853,10.9276389004 44.6224124853,4326                            ,38,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
MO088,AMENDOLA ,VIA AMENDOLA 233,MODENA,036023,10.909004,44.633883,10.909004 44.633883,4326                            ,38,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO2284-A,VILLAGGIO ZETA,VIA CANNIZZARO - TORRE ACQUA CANNIZZARO,MODENA,036023,10.89242,44.639295,10.89242 44.639295,4326                            ,38,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MD27,MO VIA BONDESANO,"VIA P. FERRARI,3",MODENA,036023,10.933755498,44.6528532604,10.933755498 44.6528532604,4326                            ,34,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE1800 - LTE2100 - UMTS2100
MO026,VIA EMILIA OVEST,"VIA RAINUSSO,108 PRESSO HOTEL TIBY",MODENA,036023,10.91418,44.647547,10.91418 44.647547,4326                            ,"35,6",WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MD43,MO ADRIANO,"VIA TRENTO TRIESTE,31",MODENA,036023,10.9337001264,44.6424657455,10.9337001264 44.6424657455,4326                            ,35,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO003,NOVI,VIA RAFFAELLO SANZIO,NOVI DI MODENA,036028,10.897076,44.884785,10.897076 44.884785,4326                            ,20,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
