CODICE,DENOMINAZIONE,INDIRIZZO,COMUNE,COD_ISTAT,LON,LAT,LAT_LON,SR_GEO,QUOTA,OPERATORE,TIPO_IMPIANTO,STATO_IMPIANTO,FASE_RICHIESTA,TECNOLOGIE_UTILIZZATE
FL05,BERTINORO,"VIA MONTONE, SNC",BERTINORO,040003,12.1588626788,44.1624957655,12.1588626788 44.1624957655,4326                            ,36,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO045,VIA CHIAVICHE ,"VIA SANT'ORSOLA, 6",CESENA,040007,12.279389,44.164016,12.279389 44.164016,4326                            ,"21,1",WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL74,CESENA VIA SAVIO ,"VIA CHIANCIANO,",CESENA,040007,12.208605,44.128015,12.208605 44.128015,4326                            ,44,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
FC5227,MONTALETTO ,VIA CONFINE - LOCALITA` MONTALETTO DI CERVIA,CESENA,040007,12.327464,44.203737,12.327464 44.203737,4326                            ,4,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE1800 - UMTS2100
FO057,A14 MACERONE ,"VIA VANZIE, 881",CESENA,040007,12.322379,44.150447,12.322379 44.150447,4326                            ,16,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO041,STADIO,VIA VENETO C/O RFI,CESENA,040007,12.264912,44.142259,12.264912 44.142259,4326                            ,29,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO3C,CESENA PISTOIA ,"VIA SAN MINIATO, 246",CESENA,040007,12.220631,44.135021,12.220631 44.135021,4326                            ,39,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
FO99,VALVERDE ,"VIA BERNINI,17",CESENATICO,040008,12.423059,44.178949,12.423059 44.178949,4326                            ,"1,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2600 - UMTS2100
FO010,SAVIGNANO SUL RUBICONE ,"VIA DELLA REPUBBLICA, 42",SAVIGNANO SUL RUBICONE,040045,12.408222,44.097807,12.408222 44.097807,4326                            ,26,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO003,ENEL STADIO ,"VIA PIANCASTELLI, 4",FORLI' ,040012,12.060583,44.213274,12.060583 44.213274,4326                            ,25,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FO005,VIALE RISORGIMENTO ,"VIALE RISORGIMENTO, 250 - FORLI",FORLI' ,040012,12.032265,44.198303,12.032265 44.198303,4326                            ,39,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL41,SAN ZENO,"VIA SAN ZENO, LOCALITA PODERE SALAMELLO",GALEATA,040014,11.8781577495,44.011104831,11.8781577495 44.011104831,4326                            ,"518,1",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO021,MODIGLIANA,"VIA DELLA COSTA, 7 - MODIGLIANA",MODIGLIANA,040022,11.791669,44.163361,11.791669 44.163361,4326                            ,244,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FL65,PORTICO DI ROMAGNA ,"PODERE  BOTTAQUARA,14",PORTICO E SAN BENEDETTO,040031,11.766248,44.014171,11.766248 44.014171,4326                            ,471,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
FO14,SPORTILIA,STRADA VICINALE SPINELLO,SANTA SOFIA,040043,11.9892848356,43.9270877606,11.9892848356 43.9270877606,4326                            ,"913,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
FL1C,CORNIOLO,STRADA COMUNALE CERRETO CERRETINO,SANTA SOFIA,040043,11.7957945125,43.9095109355,11.7957945125 43.9095109355,4326                            ,655,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - UMTS2100
MO95,MO LARGO SAN FRANCESCO PC,"VIA CANAL CHIARO,159",MODENA,036023,10.9213747669,44.6430430247,10.9213747669 44.6430430247,4326                            ,38,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE2600 - UMTS2100
MO5942-A,PANZANO                                 ,"VIA MACMANI,2",CAMPOGALLIANO,036003,10.8456943179,44.7165339134,10.8456943179 44.7165339134,4326                            ,32,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO2801B,CAMPOGALLIANO BILANCIAI,PIAZZALE DELLE NAZIONI C/O DOGANA,CAMPOGALLIANO,036003,10.8574071964,44.6868441324,10.8574071964 44.6868441324,4326                            ,39,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - UMTS900 - UMTS2100
MO2453-B,CASTELVETRO,VIA MIGLIORARA,CASTELVETRO DI MODENA,036008,10.9525538224,44.4951201916,10.9525538224 44.4951201916,4326                            ,165,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO2450-C,FORMIGINE,TERR. ADIACENTE ALLA VIA GIARDINI/. SS.GUASTALLA,FORMIGINE,036015,10.85555,44.586506,10.85555 44.586506,4326                            ,69,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO61,FORMIGINE SUD/OVEST,"VIA FONDACCIA LOCALITA' PONTE FOSSA,SNC",FORMIGINE,036015,10.8219478283,44.5688573199,10.8219478283 44.5688573199,4326                            ,91,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO76,MAGRETA,"VIA GAZZUOLI LOCALITA' MAGRETA,S.N.C.",FORMIGINE,036015,10.807831612,44.6094927751,10.807831612 44.6094927751,4326                            ,65,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO2739,FRASSINORO,"SITO RAI SP32 DI MODENA, 2KM CIRCA A SUD DI FRASSI",FRASSINORO,036016,10.5431279848,44.2766965375,10.5431279848 44.2766965375,4326                            ,1182,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900
MD17,MO VIA DELLA VITE,VIA TRE RE,MODENA,036023,10.9236991448,44.6435529948,10.9236991448 44.6435529948,4326                            ,35,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE1800 - LTE2100 - UMTS2100
MO091,VIA DALLA CHIESA,STRADA CONTRADA 391,MODENA,036023,10.932723,44.612391,10.932723 44.612391,4326                            ,38,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO41125_005,,VIA PANNI,MODENA,036023,10.902643,44.62655,10.902643 44.62655,4326                            ,40,ILIAD,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO0123-A,TABACCHI,VIA PIAZZA,MODENA,036023,10.9058512957,44.6541599066,10.9058512957 44.6541599066,4326                            ,36,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE800 - LTE1800 - LTE2100
MO2848-A,ALTA,"VIA CERVINO, 31",MODENA,036023,10.9472628009,44.6570075974,10.9472628009 44.6570075974,4326                            ,31,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,UMTS2100
MO56,MO NEWTON,"VIA CESARE DELLA CHIESA, 278",MODENA,036023,10.894532,44.647729,10.894532 44.647729,4326                            ,"36,3",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2100 - UMTS2100
MD14,BAGGIOVARA,VIA JACOPO DA PORTO SUD,MODENA,036023,10.8575693959,44.6109895494,10.8575693959 44.6109895494,4326                            ,54,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO073,VIALE CUCCHIARI,VIA MONTE SABOTINO 113-115,MODENA,036023,10.9396327179,44.6396284123,10.9396327179 44.6396284123,4326                            ,34,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MD09,MO VACIGLIO,"VIA TIGNALE DEL GARDA,76",MODENA,036023,10.9362880252,44.6202045601,10.9362880252 44.6202045601,4326                            ,37,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE1800 - LTE2100 - UMTS2100
MD07,MO VIA UCCELLIERA,VIA UCCELLIERA,MODENA,036023,10.892356,44.655814,10.892356 44.655814,4326                            ,36,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE800 - LTE1800 - LTE2100 - UMTS2100
MO2025-A,MODENA NORD,"VIALE VIRGILIO,30 - PARCHEGGIO CENTRO SERVIZI",MODENA,036023,10.8626299733,44.6525600263,10.8626299733 44.6525600263,4326                            ,41,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MO4807-A,VALLE PANARO,LOCALITA' MERIGGIO,PAVULLO NEL FRIGNANO,036030,10.9098489754,44.3368955224,10.9098489754 44.3368955224,4326                            ,582,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO07,PAVULLO,"VIA MANNI,27",PAVULLO NEL FRIGNANO,036030,10.8318788551,44.3381105948,10.8318788551 44.3381105948,4326                            ,686,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO4849-B,S. ANNA PELAGO,LOC. VACCHERECCE,PIEVEPELAGO,036031,10.569022,44.181397,10.569022 44.181397,4326                            ,1192,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MD73,SAN FELICE SUL PANARO OVEST,"VIA DEL COMMERCIO,440",SAN FELICE SUL PANARO,036037,11.1298545103,44.8351085186,11.1298545103 44.8351085186,4326                            ,16,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
MO21,SASSUOLO SUD,"VIA G. D'AREZZO, SNC  -  C/O CENTRALE TELECOM",SASSUOLO,036040,10.7796080468,44.5312567589,10.7796080468 44.5312567589,4326                            ,138,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
MO4850-A,MONTE CIMONE,STRADA COMUNALE DEI MONTI - PASSO DEL LUPO,SESTOLA,036043,10.7211700821,44.2142374735,10.7211700821 44.2142374735,4326                            ,1600,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE1800 - UMTS900 - UMTS2100
PC019,ALSENO,STRADA DELLA CATELLANA,ALSENO,033002,9.9692935,44.9062635,9.9692935 44.9062635,4326                            ,69,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - UMTS2100
PC1478-A,ALSENO,VIA ROMA 53 C/O CASEIFICIO GORRA,ALSENO,033002,9.975434,44.896767,9.975434 44.896767,4326                            ,73,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2100 - UMTS900 - UMTS2100
PC15,CARPANETO PIACENTINO,"VIA DON MINZONI,10 - C/O CENTRALE TELECOM",CARPANETO PIACENTINO,033011,9.7930992,44.912707,9.7930992 44.912707,4326                            ,115,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PC321,FIORENZUOLA OVEST,"STRADA VICINALE DEL FRASCALE, LOC. PAVARANA",FIORENZUOLA D'ARDA,033021,9.900375,44.927174,9.900375 44.927174,4326                            ,84,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,UMTS2100
PC3661-C,GOSSOLENGO,VIA SOPRANI C/O CENTRO SPORTIVO,GOSSOLENGO,033023,9.6096843,45.0008177,9.6096843 45.0008177,4326                            ,88,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2100 - UMTS900
PC3709-A,TASSARA,VIA TASSARA,NIBBIANO,033029,9.3334329,44.950206,9.3334329 44.950206,4326                            ,486,VODAFONE,MICROCELLA,ATTIVO,ATTIVA,GSM900
PC036,VIA EMILIA PAVESE,VIA BOTTINI,PIACENZA,033032,9.655728,45.054344,9.655728 45.054344,4326                            ,56,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - LTE800 - LTE2600 - UMTS900 - UMTS2100
PC006,ENEL PIACENZA OVEST,VIA MASCARETTI,PIACENZA,033032,9.6744007,45.0553867,9.6744007 45.0553867,4326                            ,55,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - LTE800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
PC044,S. AGATA,VIA RAGGIO C/O DEPURATORE COMUNALE,PONTENURE,033037,9.795158,44.999416,9.795158 44.999416,4326                            ,61,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - UMTS2100
PC07,RIVERGARO,VIA DEL PERETO CENTRALE TELECOM,RIVERGARO,033038,9.597543,44.915363,9.597543 44.915363,4326                            ,137,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR036,BARDI,,BARDI,034002,9.7206064,44.6311216,9.7206064 44.6311216,4326                            ,,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - UMTS900 - UMTS2100
PR82,OZZANO TARO,"VIA NAZIONALE,45",COLLECCHIO,034009,10.1453644,44.7144464,10.1453644 44.7144464,4326                            ,127,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR10,COLLECCHIO,"VIA LA SPEZIA,84/A",COLLECCHIO,034009,10.2130701316,44.7506503635,10.2130701316 44.7506503635,4326                            ,117,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR060,COZZANO,VIA SESIOLO VICINO TRALICCIO RAI,CORNIGLIO,034012,10.1723742,44.5677515,10.1723742 44.5677515,4326                            ,825,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR363,FELINO,VIA CALESTANO 64,FELINO,034013,10.232093,44.699232,10.232093 44.699232,4326                            ,181,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR021,ENEL TRONCHI,VIA TRONCHI. ENEL VIGHEFFIO,PARMA,034027,10.2965444,44.7789831,10.2965444 44.7789831,4326                            ,75,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR4673-B,,"VIA AVOGADRO,4",PARMA,034027,10.3038027186,44.8035715182,10.3038027186 44.8035715182,4326                            ,"54,6",VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - UMTS900
PR32,PR NORD/EST,"VIALE MENTANA, 27/29",PARMA,034027,10.3389824,44.8028223,10.3389824 44.8028223,4326                            ,"51,1",TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR002,VIA BANDINI,TORRE FARO STADIO TARDINI,PARMA,034027,10.3384481,44.7957852,10.3384481 44.7957852,4326                            ,62,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR70,SAN POLO Z.I. ,"VIA PIZZOLESE C/O STABILIMENTO TECNOPALI,46/A",PARMA,034027,10.3613985,44.8708357,10.3613985 44.8708357,4326                            ,"32,1",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
PR19,CHIOZZOLA,VIA VIAZZA  14,PARMA,034027,10.3932625362,44.8235607632,10.3932625362 44.8235607632,4326                            ,"36,4",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
PR001,SALSOMAGGIORE-BASSO,VIA MONTECUCCO (LOC. COTIGNACO),SALSOMAGGIORE TERME,034032,9.9867332,44.8037248,9.9867332 44.8037248,4326                            ,229,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR2018-C,SAN SECONDO PARMENSE,"VIA BELLINI, 9",SAN SECONDO PARMENSE,034033,10.2313901362,44.9228851577,10.2313901362 44.9228851577,4326                            ,37,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
PR019,SORAGNA,DEPURATORE COMUNALE,SORAGNA,034036,10.1310199,44.9347977,10.1310199 44.9347977,4326                            ,40,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR048,,"VIA ARGINE NAVIGLIO, 5/7",TORRILE,034041,10.3663892,44.8859217,10.3663892 44.8859217,4326                            ,30,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR66,TORRILE,STRADA DELLA SELVA N.10,TORRILE,034041,10.3271524873,44.9156813557,10.3271524873 44.9156813557,4326                            ,32,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - UMTS900
PR51,VARSI,VIA CA`DEL SOLDATO,VARSI,034046,9.8369801,44.6896016,9.8369801 44.6896016,4326                            ,694,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE59,,"VIA EMILIA S. STEFANO, 3/D",REGGIO NELL'EMILIA,035033,10.63039444,44.69869722,10.63039444 44.69869722,4326                            ,56,TIM,MICROCELLA,ATTIVO,ATTIVA,GSM900
RE18,BAGNOLO IN PIANO,"VIA REPUBBLICA, 16 C/O ACQUEDOTTO",BAGNOLO IN PIANO,035002,10.6694448118,44.7643395424,10.6694448118 44.7643395424,4326                            ,30,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE2482-B,BIBBIANO CENTRO,VIA R. FRANCHETTI SNC,BIBBIANO,035004,10.4720091488,44.6687277744,10.4720091488 44.6687277744,4326                            ,116,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
RE26,BRESCELLO,"VIA F.LLI CERVI,S.N.C.",BRESCELLO,035006,10.5149402549,44.8982018045,10.5149402549 44.8982018045,4326                            ,24,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE28,CARPINETI,LOC.C? A  BERRETTI,CARPINETI,035011,10.5123547333,44.4612378952,10.5123547333 44.4612378952,4326                            ,569,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
RE3694-B,CORREGGIO EST,VIA SALTINI ANGOLO SS 468 SNC,CORREGGIO,035020,10.7954283271,44.7649114336,10.7954283271 44.7649114336,4326                            ,30,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - UMTS900
RE4746-C,FABBRICO,VIA NAVIGLIO 19,FABBRICO,035021,10.8122345572,44.8651879327,10.8122345572 44.8651879327,4326                            ,22,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE49,GATTATICO-PRATICELLO,VIA DON MILANI,GATTATICO,035022,10.4652554408,44.7919805023,10.4652554408 44.7919805023,4326                            ,"41,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE401,PRATICELLO,VIA VALLE,GATTATICO,035022,10.4697407626,44.8127802816,10.4697407626 44.8127802816,4326                            ,32,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE44,GUALTIERI,PRESSO NUOVA AREA P.I.P. (VIA FATTORI),GUALTIERI,035023,10.6230202443,44.8904235106,10.6230202443 44.8904235106,4326                            ,"20,4",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
RE040,GUALTIERI,PRESSO NUOVA AREA P.I.P. (VIA FATTORI),GUALTIERI,035023,10.6230202443,44.8904235106,10.6230202443 44.8904235106,4326                            ,"20,4",WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE087,ENEL TARLANDA,C/O CENTRO RADIO ENEL M.TE TARLANDA,LIGONCHIO,035025,10.344666965,44.3080157857,10.344666965 44.3080157857,4326                            ,1206,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE020,NOVELLARA,STRADA PROV. REGGIOLO-ROLO,NOVELLARA,035028,10.7430781706,44.850503056,10.7430781706 44.850503056,4326                            ,21,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE400,POVIGLIO,VIA A. EINSTEIN - AREA COMUNALE,POVIGLIO,035029,10.5470923,44.8426585,10.5470923 44.8426585,4326                            ,"27,2",WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE3D,QUATTRO CASTELLA EST,CIMITERO COMUNALE,QUATTRO CASTELLA,035030,10.4773328178,44.6384567782,10.4773328178 44.6384567782,4326                            ,"153,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
RE05,RE STADIO,"VIA CARAVAGGIO,9",REGGIO NELL'EMILIA,035033,10.653010791,44.6856579728,10.653010791 44.6856579728,4326                            ,55,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE22,RE PRATO,"VIA AZZARRI DEGLI,SNC",REGGIO NELL'EMILIA,035033,10.715735024,44.6992254883,10.715735024 44.6992254883,4326                            ,44,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE316 (ex H3G RE2894),VIA EMILIA S. STEFANO,"VIA EMILIA SANTO STEFANO, 50",REGGIO NELL'EMILIA,035033,10.6243975,44.7004572,10.6243975 44.7004572,4326                            ,,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE081,PIEVE MODOLENA,"VIA FRATELLI CERVI, 75",REGGIO NELL'EMILIA,035033,10.5940703848,44.7119003782,10.5940703848 44.7119003782,4326                            ,"45,6",WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE95,RE VIA GINZBURG,"VIA KENNEDY, 15",REGGIO NELL'EMILIA,035033,10.6127,44.70754,10.6127 44.70754,4326                            ,"49,3",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE4771-A,VILLA FRATTI,"VIA V. GIOVANARDI,S.N.C",REGGIO NELL'EMILIA,035033,10.5379155552,44.660368825,10.5379155552 44.660368825,4326                            ,124,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS2100
RE088,REGGIOLO ZI,"VIA C. COLOMBO, SNC",REGGIOLO,035032,10.8443358974,44.9121400373,10.8443358974 44.9121400373,4326                            ,18,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE4736-B,RIO SALICETO,VIA ROSA LUXEMBURG,RIO SALICETO,035034,10.80915555,44.81476111,10.80915555 44.81476111,4326                            ,"23,4",VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE036,S.MARTINO IN RIO,PIAZZALE AREA IND.,SAN MARTINO IN RIO,035037,10.773373694,44.7284201459,10.773373694 44.7284201459,4326                            ,34,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE054,VIANO,"VIA CASE STRADONI, 2",VIANO,035044,10.6537043217,44.5445385649,10.6537043217 44.5445385649,4326                            ,246,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PC0E,CONSERVE ITALIA MC,"VIA CASTELLANA, C/O STABILIMENTO CONSERVE ITALIA LUSURASCO 8",ALSENO,033002,9.899286901,44.8889483007,9.899286901 44.8889483007,4326                            ,121,TIM,MICROCELLA,ATTIVO,ATTIVA,UMTS2100
PR75,BORGO VAL DI TARO PAESE,"VIA MOSER ,SNC",BORGO VAL DI TARO,034006,9.7714269,44.4840759,9.7714269 44.4840759,4326                            ,451,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE6F,CORREGGIO OVEST,PRESSO PIAZZALE RICCARDO FINZI,CORREGGIO,035020,10.7678110179,44.7708608216,10.7678110179 44.7708608216,4326                            ,33,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE800 - UMTS2100
PR0226-A,SALSI,"VIA VERONA, 21",PARMA,034027,10.3390628,44.8117857,10.3390628 44.8117857,4326                            ,47,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE800 - LTE1800 - UMTS900 - UMTS2100
PR2313-A,SORAGNA TRENTO,VIA BONATTI 76,SORAGNA,034036,10.1200551,44.9345622,10.1200551 44.9345622,4326                            ,"42,5",VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
FO107,CHIESA ROSSA ,"AREA  AGRICOLA C/O VIA CANAPINO, 481 LOCALITA' DIEGARO - CESENA",CESENA,040007,12.1990520804,44.1594216469,12.1990520804 44.1594216469,4326                            ,33,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM1800 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
MO082,MO CENTRO STORICO,"VIA FRANCESCO SELMI, 57-59",MODENA,036023,10.924967,44.643506,10.924967 44.643506,4326                            ,35,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
MD1B,POLINAGO SUD,VIA S.MARTINO,POLINAGO,036032,10.7205593274,44.3490436587,10.7205593274 44.3490436587,4326                            ,910,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - UMTS2100
RE2540-A,SAN MARTINO IN RIO ZI,ROTONDA INTERSEZIONE VIA DEL CORNO - VIA DELLA RESISTENZA,SAN MARTINO IN RIO,035037,10.7864843795,44.7391710959,10.7864843795 44.7391710959,4326                            ,34,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,UMTS900
RE3952-A,SSI-MANTEGNA,"VIA R. SANZIO,13",NOVELLARA,035028,10.7302258641,44.8502395592,10.7302258641 44.8502395592,4326                            ,24,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
